ケース番号=No.005;実施開始時間=2021-09-30 16:12:30.926;実施終了時間=2021-09-30 16:12:55.545;実施結果=OK.
======以下はアクション毎の確認ログ。======
【実行結果=OK】【操作(DB準備)】【テーブル：c_screen_field_display,DB状態：4】:開始時間=2021-09-30 16:12:30.930;終了時間=2021-09-30 16:12:31.189
【実行結果=OK】【操作(DB準備)】【テーブル：idempotent_requests,DB状態：1】:開始時間=2021-09-30 16:12:31.189;終了時間=2021-09-30 16:12:31.199
【実行結果=OK】【操作(api)】【/v1/gw-stop-shipment/search】:開始時間=2021-09-30 16:12:31.199;終了時間=2021-09-30 16:12:31.200
【実行結果=OK】【操作(api)】【/internal/v1/product-classification/get-list】:開始時間=2021-09-30 16:12:31.200;終了時間=2021-09-30 16:12:31.200
【実行結果=OK】【操作(api)】【/internal/v1/plant/get-list】:開始時間=2021-09-30 16:12:31.200;終了時間=2021-09-30 16:12:31.200
【実行結果=OK】【操作(api)】【/internal/v1/supplier/get-list】:開始時間=2021-09-30 16:12:31.200;終了時間=2021-09-30 16:12:31.201
【実行結果=OK】【操作(api)】【/internal/v1/brand/get-list】:開始時間=2021-09-30 16:12:31.201;終了時間=2021-09-30 16:12:31.201
【実行結果=OK】【操作(api)】【/internal/v1/reason-type/get-list】:開始時間=2021-09-30 16:12:31.201;終了時間=2021-09-30 16:12:31.202
【実行結果=OK】【操作(api)】【/internal/v1/slip-type/get-list】:開始時間=2021-09-30 16:12:31.202;終了時間=2021-09-30 16:12:31.202
【実行結果=OK】【操作(api)】【/internal/v1/code/search】:開始時間=2021-09-30 16:12:31.202;終了時間=2021-09-30 16:12:31.202
【実行結果=OK】【操作(api)】【登录】:開始時間=2021-09-30 16:12:31.202;終了時間=2021-09-30 16:12:55.540
